rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/std,train/approx_kl
1000.0,1296.0832923200003,162,88,1441792,8885,0.8694198131561279,0.37818359375,0.2,0.0017787706619128586,0.02898060344159603,1632,4.227931685447693,0.0003,0.0025633317907340827,0.17084820568561554,0.035458636
1000.0,1299.52973338,163,89,1458176,8892,0.8225514888763428,0.3330775669642857,0.2,0.006713407999736124,0.005811885930597782,1634,4.221826110567365,0.0003,0.00225089312048762,0.1709509640932083,0.027594998
1000.0,1296.1387274099998,165,90,1474560,8893,0.8925972580909729,0.3750908430232558,0.2,-0.0007705839047598284,-0.024335211142897606,1638,4.214464269682418,0.0003,0.001943322724857649,0.1709669828414917,0.035894245
1000.0,1298.67544601,167,91,1490944,8896,0.8122433423995972,0.3675130208333333,0.2,0.001711685691892247,0.026104506105184555,1641,4.2121377636988955,0.0003,0.003226878292480251,0.17114488780498505,0.031480424
1000.0,1297.47895208,169,92,1507328,8899,0.8507051467895508,0.3559170081967213,0.2,0.007621918927084227,-0.009741928428411484,1643,4.204364182519131,0.0003,0.002308267806122293,0.17116425931453705,0.03190896
1000.0,1295.11641601,171,93,1523712,8908,0.8856585621833801,0.3466208584337349,0.2,0.009718155317255351,0.02877390943467617,1645,4.195089995142925,0.0003,0.0029288568486268802,0.17131803929805756,0.032995682
1000.0,1291.68167358,173,94,1540096,8901,0.92850661277771,0.37404816060126583,0.2,-0.008292578739892172,-0.015844929963350296,1650,4.1791597227507,0.0003,0.0024147037438063917,0.171591117978096,0.033063676
1000.0,1293.768888,174,95,1556480,8908,0.9057291746139526,0.3333213876146789,0.2,0.007688155790808004,-0.0005857313517481089,1652,4.179300535709486,0.0003,0.002228598594195594,0.17156708240509033,0.027074194
1000.0,1299.3640467399998,176,96,1572864,8900,0.9119306802749634,0.38297269321766564,0.2,-0.005526484279637739,0.0015407679602503777,1657,4.176534102166113,0.0003,0.0019181488711263526,0.1715407818555832,0.033607233
1000.0,1298.2896888500002,178,97,1589248,8905,0.8824310302734375,0.37424297480620156,0.2,0.007092288374005593,-0.019206056371331215,1660,4.197763694349185,0.0003,0.0016024360643490398,0.17107361555099487,0.045591734
1000.0,1303.53857677,180,98,1605632,8908,0.8970069885253906,0.37510731456043955,0.2,0.0008593227504496718,-0.005206146743148565,1663,4.229200633017571,0.0003,0.001853775665430086,0.17068664729595184,0.03396893
1000.0,1305.3423395500001,182,99,1622016,8904,0.9250319004058838,0.3709865196078431,0.2,-0.003941459526472232,0.0010065676178783178,1667,4.227858287212896,0.0003,0.0013777247607233186,0.17107486724853516,0.030694995
1000.0,1305.06621562,183,100,1638400,8910,0.8999440670013428,0.33993675595238093,0.2,0.00926637101275403,0.014795231632888317,1669,4.223659110447717,0.0003,0.002385633636362082,0.1707766056060791,0.029547336
1000.0,1303.52032158,185,101,1654784,8910,0.901593029499054,0.36228197674418605,0.2,-0.0006008339558489794,-0.011437676846981049,1673,4.240028971295024,0.0003,0.002234056612563341,0.17047347128391266,0.0353747
1000.0,1305.73548427,187,102,1671168,8918,0.8592004776000977,0.3365822208737864,0.2,0.00520106152748888,-0.016754750162363052,1675,4.264066265624704,0.0003,0.0016804690160833805,0.17022626101970673,0.031217989
1000.0,1304.2607777299997,189,103,1687552,8923,0.8971430659294128,0.36613016917293234,0.2,0.0056807747937010645,-0.01911390759050846,1678,4.275962377849378,0.0003,0.002382435604817885,0.17010068893432617,0.03961782
1000.0,1301.9052116999999,190,104,1703936,8922,0.899596631526947,0.37545265557939916,0.2,-0.002594666615480261,0.009165567345917225,1682,4.277713352006904,0.0003,0.0017996929708844283,0.17009474337100983,0.03424535
1000.0,1301.34675357,192,105,1720320,8925,0.9114068150520325,0.3677455357142857,0.2,0.001695093238460166,-0.008981538936495781,1685,4.29126299721854,0.0003,0.0018278776628098319,0.16989894211292267,0.032792684
1000.0,1303.38226579,194,106,1736704,8919,0.9130967259407043,0.37448990549828176,0.2,-0.005094822499376187,-0.003636362263932824,1690,4.308850734094574,0.0003,0.0021368477219888536,0.16964012384414673,0.03258651
1000.0,1304.23979781,196,107,1753088,8925,0.8309326171875,0.3595686983471074,0.2,0.005308549835785361,0.0038627481553703547,1692,4.303913463245738,0.0003,0.003461555343059715,0.16976206004619598,0.033150002
1000.0,1303.32063587,198,108,1769472,8923,0.8636234998703003,0.3766963396414343,0.2,-0.0020390909445282828,0.01069667749106884,1696,4.306612223742968,0.0003,0.0019915956151356318,0.16966348886489868,0.03339079
1000.0,1302.97682267,200,109,1785856,8923,0.9002336263656616,0.3742268880208333,0.2,0.0024115215928759426,-0.001101976027712226,1699,4.307201959192753,0.0003,0.0021029565050412202,0.16964644193649292,0.030455053
1000.0,1299.85007394,201,110,1802240,8929,0.8860817551612854,0.36185825892857143,0.2,0.0055956434558278745,0.011491178534924984,1702,4.3065770660127916,0.0003,0.0018116632534656673,0.16980014741420746,0.037101015
1000.0,1297.9504728200002,203,111,1818624,8926,0.8653326034545898,0.36659375,0.2,-0.0018951793350279332,-0.005504587199538946,1706,4.297659175872803,0.0003,0.002848400407936424,0.16994373500347137,0.031325705
1000.0,1294.11094051,205,112,1835008,8922,0.8506690263748169,0.37709263392857145,0.2,-0.004307444683841563,-0.010162970051169395,1711,4.28050958939961,0.0003,0.0032273300885987868,0.17019718885421753,0.035574075
1000.0,1291.41808518,207,113,1851392,8913,0.8416483998298645,0.3866032426075269,0.2,-0.007673129847433458,0.004093165975064039,1717,4.283491407671282,0.0003,0.0029707207060944768,0.17004366219043732,0.033621926
1000.0,1290.19226768,209,114,1867776,8908,0.8220071792602539,0.37748223244147155,0.2,-0.00531553257767572,-0.021869324147701263,1722,4.280137129053224,0.0003,0.002105412593214184,0.17017577588558197,0.037512105
1000.0,1289.0422803899999,211,115,1884160,8905,0.8957363367080688,0.376220703125,0.2,-0.0041886906050529115,-0.02546394243836403,1727,4.2752765732653,0.0003,0.002294680848803289,0.17026855051517487,0.03528174
1000.0,1285.79146525,213,116,1900544,8904,0.8446577787399292,0.37674500512295084,0.2,-0.0012152960884659627,-0.01571037620306015,1731,4.267650543666277,0.0003,0.0020919812930992147,0.17031711339950562,0.032593925
1000.0,1286.69666118,215,117,1916928,8912,0.9098132252693176,0.306739936440678,0.2,0.014937904900160887,0.017437001690268517,1732,4.269225710529392,0.0003,0.0026127417528433567,0.17030496895313263,0.023278376
1000.0,1292.97045425,216,118,1933312,8919,0.8800209760665894,0.35298627336448596,0.2,0.009249025424855334,-0.0124315544962883,1734,4.280445491042093,0.0003,0.0027606434354158207,0.1698942333459854,0.03140925
1000.0,1294.48380202,218,119,1949696,8912,0.919938325881958,0.3763423955108359,0.2,-0.006709579071289522,-0.03297583758831024,1740,4.298108072841869,0.0003,0.0022082009331839325,0.16984878480434418,0.035985347
1000.0,1289.41140374,220,120,1966080,8921,0.82399582862854,0.34844970703125,0.2,0.01629849883465795,0.044442858546972275,1741,4.301449932157993,0.0003,0.002556270757850143,0.16964800655841827,0.027727574
1000.0,1290.61083636,222,121,1982464,8923,0.8540022969245911,0.359375,0.2,1.6216976148763877e-05,-0.010115527547895908,1744,4.309692255489489,0.0003,0.003744747130083242,0.16979964077472687,0.032733813
