time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1376256,1000.0,84,7022,195,1097.29665658,0.0013608350742807878,0.0003,1.788109804902758,-0.023246508091688156,0.20839367806911469,0.035066295,0.2,749,0.9677371382713318,0.32876674107142856,-0.0010776317778176496
1392640,1000.0,85,7045,197,1109.3064768899999,0.0010141661272050355,0.0003,1.8274582287050642,-0.01318573672324419,0.2076864242553711,0.030694831,0.2,751,0.9815883636474609,0.33324734669811323,-0.0018536170817173596
1409024,1000.0,86,7054,199,1119.9983534400003,0.0011680089533797104,0.0003,1.9069908309543102,-0.03474503383040428,0.20601749420166016,0.034667756,0.2,757,0.9639014601707458,0.36318945822454307,-0.015305032563947784
1425408,1000.0,87,7067,201,1126.7491733200002,0.0009192311857338789,0.0003,1.9860192141318405,-0.03323769569396973,0.20476090908050537,0.03320263,0.2,762,0.97690349817276,0.3397761678200692,-0.012133919159401608
1441792,1000.0,88,7076,203,1134.0376431299999,0.0007871529499728543,0.0003,2.048325411354502,-0.028353184461593628,0.20387738943099976,0.032501444,0.2,768,0.9742721915245056,0.3665059407552083,-0.014667748352318691
1458176,1000.0,89,7084,205,1143.47665497,0.0006420458862334745,0.0003,2.133516860988042,-0.0027600761968642473,0.20227845013141632,0.032039948,0.2,774,0.9746312499046326,0.3621361301369863,-0.013513200631212086
1474560,1000.0,90,7094,207,1150.4448723899998,0.000726854141909056,0.0003,2.1957138244922345,-0.010989537462592125,0.20123183727264404,0.037506975,0.2,780,0.97769695520401,0.3523557692307692,-0.010320911938324571
1490944,1000.0,91,7117,209,1153.2018682099997,0.0010212980200720514,0.0003,2.2367337338718367,-0.016100842505693436,0.20090889930725098,0.030833948,0.2,782,0.9739916324615479,0.31958912037037035,0.00464334829285005
1507328,1000.0,92,7130,211,1160.1774661,0.0016502738120228362,0.0003,2.2551198047068386,-0.016876840963959694,0.20054741203784943,0.033249572,0.2,787,0.9629943370819092,0.3460693359375,-0.008463806747588225
1523712,1000.0,93,7151,213,1168.4805522400002,0.0021211881201367738,0.0003,2.2720508270485458,-0.007774387951940298,0.20036165416240692,0.03468041,0.2,789,0.934836208820343,0.37395530523255816,0.00892708796282234
1540096,1000.0,94,7164,214,1172.604301,0.0009440538388469791,0.0003,2.3099291850538815,-0.03085504285991192,0.1995760202407837,0.03622588,0.2,794,0.9722128510475159,0.3550809972426471,-0.008647633985246476
1556480,1000.0,95,7183,216,1175.8654078400002,0.001495363781451369,0.0003,2.335931348800659,0.02394423820078373,0.1993456333875656,0.029999798,0.2,796,0.9678221940994263,0.3392323369565217,0.0015117971064603846
1572864,1000.0,96,7199,218,1175.75792036,0.0009137595919339513,0.0003,2.3791080460403906,-0.014962184242904186,0.19828490912914276,0.03781587,0.2,800,0.9670251607894897,0.33716066919191917,-0.0048737024554437154
1589248,1000.0,97,7215,220,1176.0598759800002,0.0014334665434104082,0.0003,2.42000044420891,-0.033147796988487244,0.19782258570194244,0.03588175,0.2,804,0.9641168713569641,0.3355805837563452,-0.005605481932563754
1605632,1000.0,98,7227,222,1186.15029765,0.0010596113594753358,0.0003,2.4592946648597716,-0.006048271432518959,0.19694994390010834,0.032943472,0.2,808,0.9720757603645325,0.3678059895833333,-0.005415803466651899
1622016,1000.0,99,7246,223,1188.52978055,0.0005999787374423436,0.0003,2.508174547060268,0.012348616495728493,0.19623534381389618,0.02817583,0.2,810,0.9831086993217468,0.3266486220472441,-0.0008566878721352637
1638400,1000.0,100,7264,225,1189.36992537,0.0011385694160708226,0.0003,2.5350064635276794,-0.01649721898138523,0.19600291550159454,0.02758029,0.2,812,0.9775112867355347,0.3006184895833333,0.009095036903292768
1654784,1000.0,101,7283,227,1192.38418861,0.0012859584263060241,0.0003,2.5550316834449767,0.012181349098682404,0.195661723613739,0.032237653,0.2,814,0.9675911068916321,0.3485546875,0.007953904832247645
1671168,1000.0,102,7304,228,1196.25916846,0.0008773591276733394,0.0003,2.565700672110733,-0.015741443261504173,0.19551797211170197,0.022401577,0.2,815,0.9785810708999634,0.29878826530612246,0.011092600773791877
1687552,1000.0,103,7318,230,1206.1580215799997,0.0005214961479214253,0.0003,2.592163647413254,-0.03032059594988823,0.1948341727256775,0.03746193,0.2,819,0.9793972373008728,0.34189453125,-0.004067454489413649
1703936,1000.0,104,7331,232,1208.07055517,0.0008135304758174633,0.0003,2.643682537980341,-0.018071655184030533,0.19391721487045288,0.033665415,0.2,823,0.9752022624015808,0.34994947139303484,-0.003226724097653482
1720320,1000.0,105,7343,234,1209.0668086199998,0.0015533231443150039,0.0003,2.688527912463782,-0.018132980912923813,0.1933276206254959,0.02904034,0.2,827,0.9626776576042175,0.3408387382075472,-0.0029458811205706364
