time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
94,8822,1241.22957711,1000.0,51,835584,0.0062836122092311125,1498,0.2,3.7488599130601594,0.3440163352272727,0.006456753605920257,0.0003,0.0374589,-0.0034197154454886913,0.17771406471729279,0.8169575333595276
96,8832,1248.2767082500002,1000.0,52,851968,0.0021764487000070065,1501,0.2,3.7593383631074286,0.35436276355421686,0.006124106686034924,0.0003,0.030493563,0.0014488680753856897,0.1777070015668869,0.8044353127479553
98,8830,1240.86306955,1000.0,53,868352,-0.004212307319479439,1505,0.2,3.7388515397022837,0.3684689970355731,0.007029321353897276,0.0003,0.03376214,-0.011877218261361122,0.17820803821086884,0.8408862948417664
100,8816,1242.0263873200001,1000.0,54,884736,-0.009408354770062457,1511,0.2,3.7161838201262194,0.36910423136645965,0.006667161186844666,0.0003,0.040463448,-0.03928934410214424,0.1783137321472168,0.8578847050666809
102,8813,1242.84040374,1000.0,55,901120,-0.004024986271181796,1515,0.2,3.709236815219789,0.3774913877952756,0.007246086329009061,0.0003,0.03440677,-0.016567835584282875,0.17840273678302765,0.7910065650939941
104,8813,1241.33563232,1000.0,56,917504,-0.0030709046893337344,1519,0.2,3.7048876147185053,0.37367466517857145,0.007488707246791039,0.0003,0.033454306,-0.010331125929951668,0.17843545973300934,0.8407098650932312
106,8797,1245.22414631,1000.0,57,933888,-0.008507384252204687,1525,0.2,3.743291949083705,0.380672249251497,0.006871118834158573,0.0003,0.036070168,-0.007002790458500385,0.17767369747161865,0.8031847476959229
107,8817,1241.84611904,1000.0,58,950272,0.013013494494434905,1527,0.2,3.7629426505467665,0.3417701198630137,0.007713192927153552,0.0003,0.036758475,0.01706327311694622,0.17760567367076874,0.814757227897644
109,8800,1251.8540313900003,1000.0,59,966656,-0.007955473522380204,1533,0.2,3.777233797395733,0.37129181338028167,0.005575294586055925,0.0003,0.033878814,-0.012357722036540508,0.177265927195549,0.7764154672622681
111,8813,1251.5079564300001,1000.0,60,983040,0.007916523681099836,1535,0.2,3.791313866774241,0.3430989583333333,0.004675481231727948,0.0003,0.02947508,0.014027741737663746,0.17706911265850067,0.8248733282089233
113,8811,1250.3598396399998,1000.0,61,999424,-0.004717383794486523,1539,0.2,3.8020034065246584,0.373078125,0.005938374229706824,0.0003,0.034194432,-0.005795428529381752,0.17691576480865479,0.8186120390892029
115,8809,1240.6304566200001,1000.0,62,1015808,-0.0027100423964756455,1543,0.2,3.7953557643023403,0.37386363636363634,0.007777623057534749,0.0003,0.03323805,-0.028219789266586304,0.1772395819425583,0.8284022808074951
117,8808,1226.3491788699998,996.6,63,1032192,-0.0037738485517455084,1547,0.2,3.777290267570346,0.3878216911764706,0.010193508688141319,0.0003,0.034770187,0.0027633607387542725,0.17729614675045013,0.7960121035575867
118,8815,1220.93263109,996.6,64,1048576,-0.0013060653335688745,1550,0.2,3.7802279219907873,0.33848805147058825,0.017418490328332956,0.0003,0.031656712,0.0010719653218984604,0.17727504670619965,0.7819415330886841
120,8808,1211.91801703,996.6,65,1064960,-0.0028180000220384936,1554,0.2,3.782100220348524,0.3769021739130435,0.011514841730746886,0.0003,0.036662534,-0.013873372226953506,0.177254319190979,0.7697626352310181
122,8821,1199.2100701000002,993.23,66,1081344,0.006919044011213758,1556,0.2,3.79415107417751,0.3456151463963964,0.013620903228854274,0.0003,0.030287841,0.019350839778780937,0.17685453593730927,0.7753982543945312
124,8819,1198.85581114,993.23,67,1097728,-0.005188119473289056,1560,0.2,3.822537196093592,0.37244073275862066,0.014934475001766635,0.0003,0.035837557,-0.013676123693585396,0.17659862339496613,0.8039303421974182
126,8824,1194.9924402499998,993.23,68,1114112,0.0009504503286937928,1563,0.2,3.822078403813879,0.3793645251396648,0.012664123896155611,0.0003,0.034186322,0.003347943536937237,0.17667190730571747,0.8325110077857971
127,8834,1179.8029478899998,991.75,69,1130496,0.006579610959549124,1565,0.2,3.817909073829651,0.3438802083333333,0.019948558726658423,0.0003,0.031346224,0.03259250149130821,0.176726296544075,0.7808850407600403
129,8850,1174.5545571100001,987.36,70,1146880,0.014946040863703405,1566,0.2,3.8159951085136052,0.3059895833333333,0.02601094767894773,0.0003,0.02253213,0.05265899747610092,0.17669527232646942,0.7551608085632324
131,8851,1180.13525853,987.36,71,1163264,0.001406720081184876,1569,0.2,3.8197162941815384,0.3695061831550802,0.014573892453974262,0.0003,0.032604635,0.0007168995216488838,0.17673151195049286,0.7856190800666809
133,8852,1183.83717589,990.73,72,1179648,0.0015127156219334182,1573,0.2,3.813784208940101,0.3715795012953368,0.01334279398747522,0.0003,0.049959935,-0.014348478987812996,0.17677360773086548,0.7241147756576538
134,8862,1175.4691912900003,990.73,73,1196032,0.007784910241861154,1575,0.2,3.818549592896263,0.33910891089108913,0.013496671107108935,0.0003,0.033375308,0.00510384701192379,0.17666904628276825,0.7848199009895325
136,8871,1156.5997470300001,984.56,74,1212416,0.005993441438119187,1577,0.2,3.8198358836721202,0.3392353995901639,0.01423463096353607,0.0003,0.030645072,0.010893373750150204,0.1768321990966797,0.7884114980697632
138,8869,1174.1540235700002,989.44,75,1228800,-0.00454255894253977,1581,0.2,3.8009551763534546,0.3715099897540984,0.02462317305998724,0.0003,0.034998313,-0.007124951109290123,0.17699676752090454,0.7810763716697693
140,8875,1169.4210821200002,989.46,76,1245184,0.0048795752549687255,1584,0.2,3.803321933746338,0.32962740384615385,0.013472824715650998,0.0003,0.04141093,-0.010079924017190933,0.17679977416992188,0.738414466381073
141,8889,1169.2492655,989.46,77,1261568,0.013663956408317272,1586,0.2,3.806997974102314,0.32974759615384613,0.019950698531017854,0.0003,0.045880165,0.0011168643832206726,0.17686891555786133,0.7920379638671875
143,8901,1167.47494317,989.46,78,1277952,0.007428577099385303,1588,0.2,3.8160145171853,0.32589934593023256,0.01234797855600888,0.0003,0.0288158,0.009649092331528664,0.17676134407520294,0.7841715812683105
145,8908,1160.6552898400003,982.9,79,1294336,0.004405847218690243,1590,0.2,3.8118761109142767,0.34886305894308944,0.013313603814600445,0.0003,0.030414471,0.0017651831731200218,0.1768265813589096,0.8085019588470459
147,8912,1182.7581695100002,989.07,80,1310720,0.0005888366907396737,1593,0.2,3.8126012717976288,0.36665900735294116,0.015065477059825378,0.0003,0.032758012,0.023771826177835464,0.17678101360797882,0.8056968450546265
148,8920,1159.96696724,981.39,81,1327104,0.006520729421848251,1595,0.2,3.8145207301262887,0.35033392137096775,0.020381918680223245,0.0003,0.03174122,0.0044792285189032555,0.17677538096904755,0.7334246635437012
150,8914,1173.9149286800002,985.76,82,1343488,-0.006945971579744099,1600,0.2,3.8083704495338644,0.36477789750957856,0.01725521666208332,0.0003,0.035129238,-0.03044084459543228,0.17686331272125244,0.7902941703796387
152,8904,1168.60522997,985.76,83,1359872,-0.009304681825393707,1606,0.2,3.799847718351376,0.3648704386645963,0.012229271892527616,0.0003,0.041882936,-0.011445884592831135,0.1770661324262619,0.7693603038787842
154,8913,1171.16690679,985.76,84,1376256,0.005230136809511742,1608,0.2,3.7984691059917486,0.3333930619266055,0.010990013197542878,0.0003,0.027846387,0.01082133874297142,0.17700576782226562,0.8147901296615601
156,8910,1176.4747637100002,986.67,85,1392640,-0.003414723649234569,1612,0.2,3.7992485380766303,0.3686948910788382,0.011019179868005618,0.0003,0.03424501,0.00920235738158226,0.1769866794347763,0.7954807281494141
158,8916,1178.9720660800003,983.35,86,1409024,0.0041139117647402395,1614,0.2,3.7926998025789036,0.33092396653543305,0.014301574642322665,0.0003,0.030335736,0.024552615359425545,0.1772577315568924,0.8323102593421936
159,8917,1190.82096232,984.91,87,1425408,-0.00029287798589421916,1618,0.2,3.775717330962112,0.3732683634020619,0.012272676167356753,0.0003,0.043819495,-0.011017343029379845,0.17740757763385773,0.8118541836738586
161,8930,1201.7704918999998,984.91,88,1441792,0.011830907056315077,1619,0.2,3.7720747152964273,0.2990451388888889,0.018437990422050157,0.0003,0.0218244,0.010670747607946396,0.17746232450008392,0.8008161783218384
163,8940,1192.1448765700002,979.8,89,1458176,0.00905247192297663,1621,0.2,3.7666071328249844,0.3261972402597403,0.011998289682019454,0.0003,0.030881386,0.02247062884271145,0.17761044204235077,0.793496310710907
164,8938,1195.78686242,979.8,90,1474560,-0.0008967913001672261,1624,0.2,3.7569812814394634,0.356640625,0.01596753831124968,0.0003,0.032384723,-0.0037835463881492615,0.17760591208934784,0.8320633172988892
166,8938,1195.4780294299999,979.1,91,1490944,-0.0023163099845563903,1628,0.2,3.7613456677464607,0.37748407160194175,0.013791235154765902,0.0003,0.034000017,0.002286156639456749,0.17766691744327545,0.7966538071632385
168,8940,1184.48754262,982.42,92,1507328,0.001233638960266949,1631,0.2,3.7475813923689425,0.37295386904761907,0.013920339474838877,0.0003,0.032716658,0.01328853890299797,0.17786769568920135,0.810879111289978
170,8943,1133.7444891500002,960.67,93,1523712,0.001933326531888534,1634,0.2,3.736439101239468,0.3581006205673759,0.024968650978032157,0.0003,0.03590634,0.0013499641790986061,0.177859365940094,0.8134534955024719
172,8944,1103.96265231,952.8,94,1540096,-0.0022126783138728717,1637,0.2,3.733273914153563,0.36572526737967914,0.04146513537090411,0.0003,0.03306682,0.0037264982238411903,0.17829149961471558,0.8284044861793518
174,8939,1088.87944003,953.09,95,1556480,-0.007034894713810343,1642,0.2,3.722529529667587,0.3759695368705036,0.035885181405293426,0.0003,0.03622907,-0.00452071987092495,0.17813193798065186,0.7837488055229187
175,8938,1073.3024452599998,951.39,96,1572864,-0.0005768425147741651,1646,0.2,3.7132581979800494,0.3649238782051282,0.027610067531275442,0.0003,0.04160276,-0.013579455204308033,0.17845255136489868,0.815536379814148
177,8938,1045.1621621,943.45,97,1589248,-0.0035282638472543186,1650,0.2,3.6878681901383072,0.3718250570776256,0.053819791341549184,0.0003,0.035938796,-0.012257002294063568,0.17881424725055695,0.7293568849563599
