time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
6336,162,1000.0,1032192,620.36273784,63,0.0005923622881823576,-0.03725055977702141,0.041314416,620,-0.021159095424809492,0.398150634765625,0.0003,0.2,1.776820427365601,0.20810090005397797,0.9636739492416382,,
6345,165,1000.0,1048576,623.68637463,64,0.000550165307208772,-0.045493267476558685,0.04402139,630,-0.02173534838584601,0.39864501953125,0.0003,0.2,1.8820845087990166,0.20647530257701874,0.9711986780166626,,
6356,167,1000.0,1064960,627.0009701100001,65,0.00047393492357059583,-0.029516886919736862,0.042537037,640,-0.021632603783655214,0.41146240234375,0.0003,0.2,1.9919375469908118,0.20418258011341095,0.9744731187820435,,
6365,169,1000.0,1081344,629.0158172700001,66,0.0004585662362046605,-0.033389780670404434,0.03945163,650,-0.02227678233466577,0.40140380859375,0.0003,0.2,2.127930708229542,0.20200352370738983,0.9701619148254395,,
6375,172,1000.0,1097728,632.0714143199999,67,0.0002959488886972395,-0.035158175975084305,0.040149417,660,-0.018683585089456757,0.396044921875,0.0003,0.2,2.2555058129131793,0.20012523233890533,0.9603825211524963,,
,,,1100000,,,0.0003814180758695329,-0.033036813139915466,0.045113854,670,-0.021787992587996997,0.401715087890625,0.0003,0.2,2.3663253869861363,0.19799436628818512,0.9798142910003662,1000.0,675.7719614
6330,175,1000.0,1114112,633.0718785599998,68,,,,,,,,,,,,,
6341,178,1000.0,1130496,635.58904533,69,0.00033236357118084927,-0.0273534394800663,0.044706106,680,-0.01934194241221121,0.384674072265625,0.0003,0.2,2.474496453627944,0.19641517102718353,0.9795935750007629,,
6349,180,1000.0,1146880,636.60699515,70,0.0004373586666815754,-0.027315350249409676,0.043961875,690,-0.018891089522003312,0.38577880859375,0.0003,0.2,2.6058494322001935,0.19417737424373627,0.9737540483474731,,
6359,182,1000.0,1163264,638.38148147,71,0.0005889669710199997,-0.029289431869983673,0.0419339,700,-0.0196532441641466,0.397125244140625,0.0003,0.2,2.6993530932813883,0.1921936720609665,0.9467553496360779,,
6368,185,1000.0,1179648,640.4886965000001,72,0.00033711189937548627,-0.03784133866429329,0.04945341,710,-0.019586631720449076,0.437451171875,0.0003,0.2,2.8681004747748373,0.19017551839351654,0.9667350053787231,,
6377,187,1000.0,1196032,641.85174629,73,0.0004374924458488749,-0.025968514382839203,0.043805704,720,-0.019477503109010287,0.4088623046875,0.0003,0.2,2.9735002115368845,0.1882198303937912,0.968528687953949,,
,,,1200000,,,0.0003487464642375926,-0.029837828129529953,0.045028105,730,-0.019123224607028533,0.417108154296875,0.0003,0.2,3.0981022369116546,0.18639981746673584,0.9726850986480713,1000.0,677.094887
6334,191,1000.0,1212416,644.80634254,74,,,,,,,,,,,,,
6343,193,1000.0,1228800,646.65460968,75,0.0004989817462387691,-0.03540140017867088,0.046510518,740,-0.017256871140671138,0.41817626953125,0.0003,0.2,3.2216221570968626,0.18432939052581787,0.9583852887153625,,
6352,196,1000.0,1245184,648.58040707,76,0.00047362836536422035,-0.036199502646923065,0.052198734,750,-0.019626605281519004,0.436651611328125,0.0003,0.2,3.35539075024426,0.18232107162475586,0.976833164691925,,
6361,198,1000.0,1261568,651.0418808,77,0.00040567915067413196,-0.02861607074737549,0.049245045,760,-0.017210069260181628,0.41953125,0.0003,0.2,3.461273715645075,0.18104010820388794,0.9677361249923706,,
6369,200,1000.0,1277952,652.12183681,78,0.0006015941448140438,-0.0055289678275585175,0.04313829,770,-0.017988720108041888,0.390020751953125,0.0003,0.2,3.533118036016822,0.17997194826602936,0.9711896181106567,,
6376,202,1000.0,1294336,655.7241094,79,0.00033274345076961254,-0.030701618641614914,0.051013604,780,-0.016971642118369344,0.437158203125,0.0003,0.2,3.6024781852960586,0.179073765873909,0.9610865712165833,,
,,,1300000,,,0.0003979065219482436,-0.04036109894514084,0.049702942,790,-0.019909926491527584,0.4359619140625,0.0003,0.2,3.710923244804144,0.17707125842571259,0.9673666954040527,1000.0,685.183172
6337,206,1000.0,1310720,655.92443312,80,,,,,,,,,,,,,
6345,209,1000.0,1327104,658.8106092099999,81,0.000304339029582934,-0.02751844748854637,0.04350961,800,-0.016515991674532417,0.410125732421875,0.0003,0.2,3.7979096811264754,0.1763029545545578,0.9665647745132446,,
6352,211,1000.0,1343488,662.12826775,82,0.00019712606878101723,-0.025393156334757805,0.046663657,810,-0.01825196948593657,0.43046875,0.0003,0.2,3.9037775482982395,0.17440031468868256,0.9795733690261841,,
6361,213,1000.0,1359872,663.01825964,83,0.00021557315155860124,-0.03780070319771767,0.05011955,820,-0.01758188980529667,0.430389404296875,0.0003,0.2,4.016749997064471,0.17272216081619263,0.9798722267150879,,
6369,216,1000.0,1376256,665.47853154,84,0.0003001015370273308,-0.017748229205608368,0.047309004,830,-0.019594149407566874,0.420654296875,0.0003,0.2,4.144745956361294,0.1706920713186264,0.9755237102508545,,
6377,218,1000.0,1392640,666.7929907000001,85,0.00039930009907038764,-0.030609622597694397,0.062366195,840,-0.019383576646214352,0.4531494140625,0.0003,0.2,4.255275470018387,0.16925199329853058,0.9762704968452454,,
,,,1400000,,,0.0005721755549984664,-0.029206447303295135,0.054415867,850,-0.018499892620457103,0.431732177734375,0.0003,0.2,4.374947836250067,0.16751684248447418,0.9592635631561279,1000.0,699.2898864
6340,222,1000.0,1409024,667.2127348099999,86,,,,,,,,,,,,,
6349,224,1000.0,1425408,667.63573777,87,0.00039619879436259,-0.03904601186513901,0.05488217,860,-0.019451024585214326,0.450616455078125,0.0003,0.2,4.484740678966046,0.16621217131614685,0.977188766002655,,
6356,226,1000.0,1441792,668.94019913,88,0.0002936872989607764,-0.024756819009780884,0.05397807,870,-0.016760763376078104,0.45279541015625,0.0003,0.2,4.552014201879501,0.16553574800491333,0.9777844548225403,,
6364,229,1000.0,1458176,671.2023346900002,89,0.00021557524415811714,-0.028542807325720787,0.059740543,880,-0.016944681098175353,0.4567626953125,0.0003,0.2,4.627149464190007,0.16434337198734283,0.9787808656692505,,
6371,231,1000.0,1474560,672.8151179199999,90,0.0003824347649242554,-0.028693683445453644,0.05863867,890,-0.016755797555015307,0.444793701171875,0.0003,0.2,4.735467489808798,0.16248564422130585,0.9687597155570984,,
6379,233,1000.0,1490944,672.4432708799999,91,0.0002934321582984012,-0.037756823003292084,0.058545038,900,-0.017221079748560443,0.465496826171875,0.0003,0.2,4.840142498165369,0.16132695972919464,0.9750543236732483,,
,,,1500000,,,0.0005355807361297593,-0.03020230308175087,0.056136414,910,-0.01733886450838327,0.450494384765625,0.0003,0.2,4.9434740789234635,0.15978245437145233,0.9660101532936096,1000.0,695.2013502
6345,237,1000.0,1507328,675.3108457299999,92,,,,,,,,,,,,,
6353,239,1000.0,1523712,676.85327503,93,0.00026996413096753714,-0.018854008987545967,0.050623827,920,-0.013176223754271632,0.444921875,0.0003,0.2,5.028643666952848,0.15925738215446472,0.9645204544067383,,
6360,242,1000.0,1540096,677.8643007700001,94,0.00041689019279829155,-0.031726330518722534,0.05639895,930,-0.014328055913210846,0.443096923828125,0.0003,0.2,5.083334932476282,0.15789899230003357,0.9638460278511047,,
6367,244,1000.0,1556480,677.55387561,95,0.0007043751341370807,-0.020704664289951324,0.053521615,940,-0.015435968267229327,0.44007568359375,0.0003,0.2,5.192430537194014,0.15660981833934784,0.9616057872772217,,
6374,246,1000.0,1572864,677.8398514600001,96,0.00047917198689901853,-0.023859312757849693,0.056708485,950,-0.016393225519277622,0.45404052734375,0.0003,0.2,5.279490495473146,0.15557058155536652,0.9620047211647034,,
6380,249,1000.0,1589248,678.43751823,97,0.0004534513930479989,-0.027257760986685753,0.059875995,960,-0.0157503478207218,0.47696533203125,0.0003,0.2,5.367368208616972,0.1543646603822708,0.9721131324768066,,
,,,1600000,,,0.00044301815138396704,-0.027560345828533173,0.066689,970,-0.01488366560824943,0.476788330078125,0.0003,0.2,5.444503702223301,0.15345913171768188,0.9738044738769531,1000.0,710.8331352000001
6348,252,1000.0,1605632,679.88716532,98,,,,,,,,,,,,,
6354,255,1000.0,1622016,680.1157057400001,99,0.00032800567190633957,-0.025743018835783005,0.04148481,980,-0.012061908510804641,0.40594482421875,0.0003,0.2,5.505289252102375,0.15302465856075287,0.9766408801078796,,
6361,257,1000.0,1638400,680.1054137199998,100,0.0005038358989509107,-0.0336717814207077,0.062483154,990,-0.015105487163236831,0.442535400390625,0.0003,0.2,5.538589152693748,0.15238146483898163,0.9688146114349365,,
6368,259,1000.0,1654784,681.5686650800001,101,0.0003418135129379607,-0.025480706244707108,0.065059006,1000,-0.015215745406385395,0.469488525390625,0.0003,0.2,5.619513623416424,0.15124599635601044,0.9742038249969482,,
6375,262,1000.0,1671168,682.4340689100001,102,0.00039374664212346035,-0.01876017451286316,0.060315035,1010,-0.014455378655111418,0.46295166015625,0.0003,0.2,5.704749243706464,0.15026843547821045,0.9785169363021851,,
6381,264,1000.0,1687552,684.26387462,103,0.0002884679717851668,-0.034402526915073395,0.060829226,1020,-0.012366892159479902,0.489129638671875,0.0003,0.2,5.78738372400403,0.14929741621017456,0.9694494009017944,,
,,,1700000,,,0.0004155407582970838,-0.032572854310274124,0.05962141,1030,-0.01438709857975482,0.4701171875,0.0003,0.2,5.848459920287132,0.14840364456176758,0.9643747806549072,1000.0,694.8929949999999
6351,268,1000.0,1703936,685.67439977,104,,,,,,,,,,,,,
6357,270,1000.0,1720320,688.8079397099999,105,0.0005122020019939555,-0.022366032004356384,0.0576077,1040,-0.014327170689648483,0.45028076171875,0.0003,0.2,5.912426725775004,0.1474747508764267,0.9569946527481079,,
6363,272,1000.0,1736704,690.9411515799999,106,0.0004820546762175582,-0.011945808306336403,0.04921844,1050,-0.012144139689553413,0.415802001953125,0.0003,0.2,5.970905912667513,0.14733032882213593,0.9651419520378113,,
6369,275,1000.0,1753088,692.9774418200001,107,0.00022724183311311207,-0.020521659404039383,0.05267205,1060,-0.013695799933339003,0.460162353515625,0.0003,0.2,5.985819089412689,0.14693008363246918,0.9697834253311157,,
6375,277,1000.0,1769472,694.06616101,108,0.00034605959262989927,-0.027860445901751518,0.068142116,1070,-0.016755270118665067,0.4644775390625,0.0003,0.2,6.056853915005922,0.14559681713581085,0.9747597575187683,,
6382,279,1000.0,1785856,696.5986446500001,109,0.00018109610080045967,-0.025356771424412727,0.058654822,1080,-0.011529555864399299,0.472955322265625,0.0003,0.2,6.17582901418209,0.1444307565689087,0.9770196676254272,,
,,,1800000,,,0.0002799464912527583,-0.014327611774206161,0.064242214,1090,-0.015511959161085543,0.4878173828125,0.0003,0.2,6.267445506155491,0.14325495064258575,0.9724083542823792,1000.0,705.1954914
6353,283,1000.0,1802240,697.86704992,110,,,,,,,,,,,,,
6359,285,1000.0,1818624,698.59495178,111,0.00026539885581655653,-0.033274754881858826,0.05640376,1100,-0.012273360761537334,0.4422607421875,0.0003,0.2,6.340474759042263,0.14283038675785065,0.9754437804222107,,
6364,288,1000.0,1835008,699.5893621499999,112,0.00035354621993519684,-0.035036057233810425,0.06566812,1110,-0.015132536425517174,0.479254150390625,0.0003,0.2,6.376670563220978,0.14210426807403564,0.9713115692138672,,
6370,290,1000.0,1851392,697.76326858,113,0.0003623351035912492,-0.022945024073123932,0.065741085,1120,-0.01247098335152259,0.4703857421875,0.0003,0.2,6.46125605776906,0.1409376710653305,0.9708837270736694,,
6375,292,1000.0,1867776,698.0501283400002,114,0.0006503778057776799,-0.03357311710715294,0.07990076,1130,-0.014053114015405299,0.490521240234375,0.0003,0.2,6.548825676739216,0.13988906145095825,0.9661543369293213,,
6382,295,1000.0,1884160,698.50095013,115,0.0004564226044863062,-0.014869224280118942,0.070584536,1140,-0.013578445644452587,0.501318359375,0.0003,0.2,6.6713967844843864,0.1384097784757614,0.969221293926239,,
,,,1900000,,,0.0002841017907371679,-0.030170954763889313,0.076301664,1150,-0.011519498826874041,0.500213623046875,0.0003,0.2,6.752699298411608,0.13806702196598053,0.9749541282653809,1000.0,713.8846276
6354,299,1000.0,1900544,698.8763695100001,116,,,,,,,,,,,,,
6360,301,1000.0,1916928,699.9833846900001,117,0.0002490453858172259,-0.02940601110458374,0.074804544,1160,-0.011438168420136207,0.508648681640625,0.0003,0.2,6.785725032538176,0.13750900328159332,0.9750866293907166,,
6365,303,1000.0,1933312,700.9910227899999,118,0.00031300473194733057,-0.035676512867212296,0.06813288,1170,-0.014191761268739356,0.474737548828125,0.0003,0.2,6.859589252620935,0.13642223179340363,0.9726868271827698,,
6370,306,1000.0,1949696,702.8104792000001,119,0.00039294612104185945,-0.019527126103639603,0.079636544,1180,-0.01509623857891711,0.496807861328125,0.0003,0.2,6.958919274061918,0.13520419597625732,0.9732147455215454,,
6376,308,1000.0,1966080,705.89736011,120,0.00024107039599243762,0.01049745548516512,0.065150805,1190,-0.00796268005433376,0.470062255859375,0.0003,0.2,7.029621988534927,0.13479425013065338,0.970349907875061,,
6381,310,1000.0,1982464,707.7873013100001,121,0.0002501407934630606,-0.025492770597338676,0.071201645,1200,-0.013601906722033163,0.50240478515625,0.0003,0.2,7.080120824277401,0.13410161435604095,0.9829890131950378,,
6386,312,1000.0,1998848,706.6595202299999,122,0.0005008753534525567,-0.030327919870615005,0.06959658,1210,-0.014299824984846055,0.486529541015625,0.0003,0.2,7.144034834206105,0.13327676057815552,0.9612501859664917,,
