time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
255,8778,738.8731024300001,737.89,137,2244608,0.002206454609640295,1789,0.2,3.4982756166844755,0.3733372043918919,0.0622901746726318,0.0003,0.035838164,0.003248516470193863,0.18133117258548737,0.871362566947937
257,8777,772.60833755,751.63,138,2260992,-0.002482722069840558,1793,0.2,3.4922561861271233,0.36916713800904977,0.12113630727810018,0.0003,0.03643694,0.04857771098613739,0.1815144419670105,0.8196457624435425
259,8777,792.0364211,762.25,139,2277376,-0.00204707718687132,1797,0.2,3.4698473811149597,0.37029296875,0.06775372056290507,0.0003,0.036533773,0.008983984589576721,0.182025745511055,0.8468852043151855
261,8775,782.18028441,775.33,140,2293760,-0.002268673963316901,1801,0.2,3.451285978077877,0.3741618168016194,0.07460495757187909,0.0003,0.03529696,0.047418590635061264,0.18215924501419067,0.8474220037460327
263,8782,798.19982907,796.51,141,2310144,0.012047281086614186,1802,0.2,3.44125541231849,0.3116122159090909,0.09834176818416877,0.0003,0.024497163,0.06605851650238037,0.182209312915802,0.804936945438385
264,8785,838.8284491899999,821.6,142,2326528,0.003999001138644027,1805,0.2,3.426270466191428,0.37159598214285716,0.06646853791815895,0.0003,0.03745771,0.010900702327489853,0.18266017735004425,0.835213303565979
266,8791,856.9351514900002,824.89,143,2342912,0.010890991466355995,1807,0.2,3.4045600118771406,0.3285101232394366,0.055430667710975864,0.0003,0.037270587,0.014848592691123486,0.18289071321487427,0.8358972668647766
268,8797,821.3173223400001,780.7,144,2359296,0.007208884085583336,1809,0.2,3.399287863338695,0.34636948529411765,0.05285891368985176,0.0003,0.032485913,0.016788732260465622,0.18275801837444305,0.8636060953140259
269,8801,851.8773486399998,788.29,145,2375680,0.004358194206120833,1811,0.2,3.407831923016962,0.3450397995283019,0.062051626238620504,0.0003,0.031490322,0.02556641213595867,0.18271727859973907,0.8721994161605835
271,8803,831.42621028,775.01,146,2392064,0.005958661973789221,1814,0.2,3.4040946560051606,0.36170085877862596,0.05637518974831541,0.0003,0.040382262,0.0052531398832798,0.18275082111358643,0.8232484459877014
273,8803,803.07814244,765.96,147,2408448,-0.0012376564316069468,1818,0.2,3.3991366545359294,0.3612980769230769,0.07893325430460466,0.0003,0.040170014,0.009228724986314774,0.1828671544790268,0.859513521194458
275,8808,789.13336068,763.62,148,2424832,0.007186229095201601,1820,0.2,3.3939433509653263,0.3384588068181818,0.07144044014540586,0.0003,0.03061296,0.03766869753599167,0.18301443755626678,0.8529700040817261
277,8804,810.8570510700001,778.93,149,2441216,-0.0063348832275463085,1824,0.2,3.377080572228278,0.3800560735887097,0.07068727329193104,0.0003,0.037371673,0.016409818083047867,0.1833556443452835,0.8531020283699036
279,8803,826.82393168,799.4,150,2457600,-0.0027284226246605935,1828,0.2,3.360028669594578,0.3797473086124402,0.053553488337252125,0.0003,0.036647487,-0.003988824784755707,0.18353255093097687,0.8501665592193604
281,8798,877.7014773299999,831.0,151,2473984,-0.012083739217598036,1834,0.2,3.3572262482983724,0.3881719680059524,0.04728897404302621,0.0003,0.03812913,0.00724191777408123,0.18343530595302582,0.815528392791748
283,8798,885.1198821400001,824.23,152,2490368,0.001604752020232078,1837,0.2,3.3655666919112894,0.37244851878612717,0.04535139007547687,0.0003,0.032549616,-0.001331990584731102,0.18327291309833527,0.8569101095199585
284,8806,880.9837354800001,819.94,153,2506752,0.009161753429760855,1838,0.2,3.3720468321154193,0.29007056451612906,0.06100469587310668,0.0003,0.021857757,0.06204834580421448,0.18315260112285614,0.8716787695884705
286,8813,776.8675520599999,750.69,154,2523136,0.011489522949743428,1839,0.2,3.379506838949103,0.29574424342105265,0.07282390719965885,0.0003,0.022674149,0.059420567005872726,0.18306569755077362,0.8753839135169983
288,8813,700.92161157,694.57,155,2539520,0.0010731463987581633,1842,0.2,3.3762293364550615,0.3792863175675676,0.1398282476776355,0.0003,0.033911828,0.05484361946582794,0.18331940472126007,0.8058688640594482
290,8813,631.45138578,652.77,156,2555904,0.0008638939166374002,1846,0.2,3.372031667689585,0.36809828367875647,0.07644038807620039,0.0003,0.045256324,-0.00282973051071167,0.18304061889648438,0.8710353970527649
291,8816,630.4367127,650.41,157,2572288,0.007666474746154814,1848,0.2,3.3787552488261254,0.34479391163793105,0.11252562284212687,0.0003,0.032868907,0.050628662109375,0.18322056531906128,0.8370277285575867
293,8820,612.3919326099999,651.2,158,2588672,0.013266156534435318,1849,0.2,3.366050595142802,0.32248975409836067,0.07586399423050098,0.0003,0.024296952,0.045917823910713196,0.18327490985393524,0.8564690351486206
